IP,RTTavg,Label
y.y.y.y,200.69,phish
y.y.y.y,108.642,phish
y.y.y.y,6.731,phish
y.y.y.y,133.149,phish
y.y.y.y,246.557,phish
y.y.y.y,170.937,phish
y.y.y.y,251.787,phish
y.y.y.y,133.607,phish
y.y.y.y,144.831,phish
y.y.y.y,114.148,phish
y.y.y.y,166.684,phish
y.y.y.y,84.716,phish
y.y.y.y,84.953,phish
y.y.y.y,249.672,phish
y.y.y.y,79.516,phish
y.y.y.y,107.532,phish
y.y.y.y,106.664,phish
y.y.y.y,105.893,phish
y.y.y.y,106.096,phish
y.y.y.y,106.638,phish
y.y.y.y,156.275,phish
y.y.y.y,84.492,phish
y.y.y.y,241.577,phish
y.y.y.y,243.017,phish
y.y.y.y,108.511,phish
y.y.y.y,272.907,phish
y.y.y.y,252.464,phish
y.y.y.y,228.82,phish
y.y.y.y,108.358,phish
y.y.y.y,112.678,phish
y.y.y.y,256.2,phish
y.y.y.y,109.549,phish
y.y.y.y,100.276,phish
y.y.y.y,251.628,phish
y.y.y.y,286.78,phish
y.y.y.y,6.972,phish
y.y.y.y,241.211,phish
y.y.y.y,910.094,phish
y.y.y.y,340.821,phish
y.y.y.y,239.749,phish
y.y.y.y,155.033,phish
y.y.y.y,255.56,phish
y.y.y.y,170.348,phish
y.y.y.y,105.774,phish
y.y.y.y,143.465,phish
y.y.y.y,120.856,phish
y.y.y.y,130.224,phish
y.y.y.y,131.179,phish
y.y.y.y,248.022,phish
y.y.y.y,254.454,phish
y.y.y.y,234.004,phish
y.y.y.y,6.783,phish
y.y.y.y,7.119,phish
y.y.y.y,97.384,phish
y.y.y.y,88.54,phish
y.y.y.y,159.387,phish
y.y.y.y,142.917,phish
y.y.y.y,79.767,phish
y.y.y.y,116.002,phish
y.y.y.y,106.192,phish
y.y.y.y,106.888,phish
y.y.y.y,106.748,phish
y.y.y.y,295.923,phish
y.y.y.y,238.695,phish
y.y.y.y,10.129,phish
y.y.y.y,11.121,phish
y.y.y.y,108.089,phish
y.y.y.y,273.336,phish
y.y.y.y,107.794,phish
y.y.y.y,6.845,phish
y.y.y.y,7.126,phish
y.y.y.y,159.403,phish
y.y.y.y,115.163,phish
y.y.y.y,8.796,phish
y.y.y.y,276.834,phish
y.y.y.y,6.833,phish
y.y.y.y,167.585,phish
y.y.y.y,248.928,phish
y.y.y.y,248.418,phish
y.y.y.y,84.699,phish
y.y.y.y,7.216,phish
y.y.y.y,8.707,phish
y.y.y.y,144.75,phish
y.y.y.y,234.966,phish
y.y.y.y,7.844,phish
y.y.y.y,155.189,phish
y.y.y.y,111.858,phish
y.y.y.y,108.292,phish
