IP,RTTavg,Label
x.x.x.x,161.007,legit
x.x.x.x,7.43,legit
x.x.x.x,118.3,legit
x.x.x.x,167.452,legit
x.x.x.x,246.604,legit
x.x.x.x,6.837,legit
x.x.x.x,246.778,legit
x.x.x.x,7.032,legit
x.x.x.x,6.776,legit
x.x.x.x,6.067,legit
x.x.x.x,6.198,legit
x.x.x.x,258.055,legit
x.x.x.x,7.388,legit
x.x.x.x,247.567,legit
x.x.x.x,7.705,legit
x.x.x.x,7.656,legit
x.x.x.x,7.552,legit
x.x.x.x,8.785,legit
x.x.x.x,5.719,legit
x.x.x.x,234.019,legit
x.x.x.x,6.915,legit
x.x.x.x,6.468,legit
x.x.x.x,86.231,legit
x.x.x.x,9.218,legit
x.x.x.x,6.836,legit
x.x.x.x,6.54,legit
x.x.x.x,6.974,legit
x.x.x.x,6.417,legit
x.x.x.x,6.675,legit
x.x.x.x,242.474,legit
x.x.x.x,242.472,legit
x.x.x.x,242.082,legit
x.x.x.x,241.963,legit
x.x.x.x,242.511,legit
x.x.x.x,243.04,legit
x.x.x.x,131.84,legit
x.x.x.x,6.472,legit
x.x.x.x,6.158,legit
x.x.x.x,6.786,legit
x.x.x.x,263.527,legit
x.x.x.x,6.773,legit
x.x.x.x,142.744,legit
x.x.x.x,110.5,legit
x.x.x.x,6.431,legit
x.x.x.x,43.791,legit
x.x.x.x,112.87,legit
x.x.x.x,247.174,legit
x.x.x.x,5.755,legit
x.x.x.x,245.907,legit
x.x.x.x,6.567,legit
x.x.x.x,6.592,legit
x.x.x.x,238.714,legit
x.x.x.x,6.754,legit
x.x.x.x,6.51,legit
x.x.x.x,9.958,legit
x.x.x.x,6.486,legit
x.x.x.x,237.37,legit
x.x.x.x,249.764,legit
x.x.x.x,6.243,legit
x.x.x.x,6.937,legit
x.x.x.x,7.021,legit
x.x.x.x,236.873,legit
x.x.x.x,7.259,legit
x.x.x.x,6.547,legit
x.x.x.x,113.042,legit
x.x.x.x,6.399,legit
x.x.x.x,6.859,legit
x.x.x.x,6.946,legit
x.x.x.x,6.084,legit
x.x.x.x,7.03,legit
x.x.x.x,6.436,legit
x.x.x.x,7.564,legit
x.x.x.x,6.852,legit
x.x.x.x,6.337,legit
x.x.x.x,6.199,legit
x.x.x.x,6.783,legit
x.x.x.x,7.363,legit
x.x.x.x,7.661,legit
x.x.x.x,6.762,legit
x.x.x.x,6.064,legit
x.x.x.x,98.945,legit
x.x.x.x,257.958,legit
x.x.x.x,7.548,legit
x.x.x.x,111.663,legit
x.x.x.x,246.977,legit
x.x.x.x,7.303,legit
x.x.x.x,6.246,legit
x.x.x.x,5.933,legit
x.x.x.x,7.437,legit
x.x.x.x,6.932,legit
x.x.x.x,249.599,legit
x.x.x.x,6.861,legit
x.x.x.x,245.149,legit
x.x.x.x,6.604,legit
x.x.x.x,105.589,legit
x.x.x.x,101.746,legit
x.x.x.x,6.561,legit
x.x.x.x,6.046,legit
x.x.x.x,7.663,legit
x.x.x.x,6.648,legit
x.x.x.x,287.37,legit
x.x.x.x,6.945,legit
x.x.x.x,7.32,legit
x.x.x.x,7.683,legit
x.x.x.x,6.68,legit
x.x.x.x,8.301,legit
x.x.x.x,165.843,legit
x.x.x.x,7.092,legit
x.x.x.x,258.85,legit
x.x.x.x,8.348,legit
x.x.x.x,7.418,legit
x.x.x.x,261.219,legit
x.x.x.x,7.734,legit
x.x.x.x,165.564,legit
x.x.x.x,98.873,legit
x.x.x.x,258.211,legit
x.x.x.x,6.682,legit
x.x.x.x,6.062,legit
x.x.x.x,6.539,legit
x.x.x.x,6.612,legit
x.x.x.x,6.651,legit
x.x.x.x,6.691,legit
x.x.x.x,7.13,legit
x.x.x.x,7.453,legit
x.x.x.x,7.346,legit
x.x.x.x,249.69,legit
x.x.x.x,6.211,legit
x.x.x.x,240.607,legit
x.x.x.x,7.119,legit
x.x.x.x,6.82,legit
x.x.x.x,6.873,legit
x.x.x.x,6.727,legit
x.x.x.x,7.596,legit
x.x.x.x,7.498,legit
x.x.x.x,7.609,legit
x.x.x.x,6.513,legit
x.x.x.x,257.472,legit
x.x.x.x,6.102,legit
x.x.x.x,6.143,legit
x.x.x.x,6.967,legit
x.x.x.x,0.071,legit
x.x.x.x,249.97,legit
x.x.x.x,6.848,legit
x.x.x.x,6.217,legit
x.x.x.x,251.415,legit
x.x.x.x,163.168,legit
x.x.x.x,7.238,legit
x.x.x.x,40.877,legit
x.x.x.x,8.131,legit
x.x.x.x,6.323,legit
x.x.x.x,6.968,legit
x.x.x.x,13.291,legit
x.x.x.x,8.349,legit
x.x.x.x,166.191,legit
x.x.x.x,243.491,legit
x.x.x.x,8.505,legit
x.x.x.x,7.173,legit
x.x.x.x,9.375,legit
x.x.x.x,260.075,legit
x.x.x.x,7.116,legit
x.x.x.x,7.875,legit
x.x.x.x,6.525,legit
x.x.x.x,6.176,legit
x.x.x.x,7.985,legit
x.x.x.x,7.124,legit
x.x.x.x,7.668,legit
x.x.x.x,6.112,legit
x.x.x.x,7.767,legit
x.x.x.x,252.06,legit
x.x.x.x,243.564,legit
x.x.x.x,6.835,legit
x.x.x.x,7.176,legit
x.x.x.x,6.395,legit
x.x.x.x,7.432,legit
x.x.x.x,6.725,legit
x.x.x.x,7.191,legit
x.x.x.x,6.38,legit
x.x.x.x,6.735,legit
x.x.x.x,146.875,legit
x.x.x.x,242.878,legit
x.x.x.x,9.788,legit
x.x.x.x,137.729,legit
x.x.x.x,51.85,legit
x.x.x.x,7.252,legit
x.x.x.x,122.75,legit
x.x.x.x,255.404,legit
x.x.x.x,5.638,legit
x.x.x.x,230.906,legit
x.x.x.x,6.259,legit
x.x.x.x,186.664,legit
x.x.x.x,7.548,legit
x.x.x.x,6.626,legit
x.x.x.x,12.285,legit
x.x.x.x,6.65,legit
x.x.x.x,117.502,legit
x.x.x.x,105.536,legit
x.x.x.x,6.576,legit
x.x.x.x,7.674,legit
x.x.x.x,8.255,legit
x.x.x.x,6.619,legit
x.x.x.x,6.307,legit
x.x.x.x,118.793,legit
x.x.x.x,7.881,legit
x.x.x.x,236.887,legit
x.x.x.x,0.06,legit
x.x.x.x,6.941,legit
x.x.x.x,6.85,legit
x.x.x.x,7.862,legit
x.x.x.x,5.828,legit
x.x.x.x,150.416,legit
x.x.x.x,113.382,legit
x.x.x.x,7.373,legit
x.x.x.x,6.353,legit
x.x.x.x,6.933,legit
x.x.x.x,79.324,legit
x.x.x.x,79.882,legit
x.x.x.x,7.948,legit
x.x.x.x,7.287,legit
x.x.x.x,6.648,legit
x.x.x.x,6.962,legit
x.x.x.x,284.427,legit
x.x.x.x,112.624,legit
x.x.x.x,7.598,legit
x.x.x.x,6.866,legit
x.x.x.x,231.33,legit
x.x.x.x,7.994,legit
x.x.x.x,8.159,legit
x.x.x.x,123.666,legit
x.x.x.x,6.669,legit
x.x.x.x,7.411,legit
x.x.x.x,5.747,legit
x.x.x.x,116.575,legit
x.x.x.x,7.478,legit
x.x.x.x,7.079,legit
x.x.x.x,151.693,legit
x.x.x.x,7.676,legit
x.x.x.x,244.877,legit
x.x.x.x,7.515,legit
x.x.x.x,99.884,legit
x.x.x.x,99.249,legit
x.x.x.x,140.975,legit
x.x.x.x,228.738,legit
x.x.x.x,10.977,legit
x.x.x.x,5.941,legit
x.x.x.x,8.157,legit
x.x.x.x,261.103,legit
x.x.x.x,7.199,legit
x.x.x.x,6.856,legit
x.x.x.x,6.106,legit
x.x.x.x,263.301,legit
x.x.x.x,8.105,legit
x.x.x.x,6.885,legit
x.x.x.x,5.662,legit
x.x.x.x,6.173,legit
x.x.x.x,6.707,legit
x.x.x.x,7.017,legit
x.x.x.x,6.095,legit
x.x.x.x,7.412,legit
x.x.x.x,7.317,legit
x.x.x.x,178.652,legit
x.x.x.x,176.197,legit
x.x.x.x,6.732,legit
x.x.x.x,6.919,legit
x.x.x.x,6.628,legit
x.x.x.x,212.958,legit
x.x.x.x,242.303,legit
x.x.x.x,5.948,legit
x.x.x.x,6.471,legit
x.x.x.x,7.413,legit
x.x.x.x,249.798,legit
x.x.x.x,6.881,legit
x.x.x.x,7.689,legit
x.x.x.x,7.062,legit
x.x.x.x,6.265,legit
x.x.x.x,5.95,legit
x.x.x.x,7.303,legit
x.x.x.x,244.922,legit
x.x.x.x,7.501,legit
x.x.x.x,7.768,legit
x.x.x.x,7.016,legit
x.x.x.x,97.936,legit
x.x.x.x,261.222,legit
x.x.x.x,7.417,legit
x.x.x.x,6.381,legit
x.x.x.x,7.251,legit
x.x.x.x,7.769,legit
x.x.x.x,13.849,legit
x.x.x.x,257.589,legit
x.x.x.x,5.81,legit
x.x.x.x,5.901,legit
x.x.x.x,6.556,legit
x.x.x.x,7.063,legit
x.x.x.x,6.637,legit
x.x.x.x,80.789,legit
x.x.x.x,160.167,legit
x.x.x.x,5.643,legit
x.x.x.x,6.147,legit
x.x.x.x,6.518,legit
x.x.x.x,6.588,legit
x.x.x.x,164.607,legit
x.x.x.x,6.48,legit
x.x.x.x,5.941,legit
x.x.x.x,6.266,legit
x.x.x.x,6.625,legit
x.x.x.x,6.716,legit
x.x.x.x,119.909,legit
x.x.x.x,6.631,legit
x.x.x.x,7.97,legit
x.x.x.x,5.823,legit
x.x.x.x,5.721,legit
x.x.x.x,5.772,legit
x.x.x.x,6.702,legit
x.x.x.x,7.236,legit
x.x.x.x,251.935,legit
x.x.x.x,7.063,legit
x.x.x.x,6.586,legit
x.x.x.x,259.073,legit
x.x.x.x,9.216,legit
x.x.x.x,7.178,legit
x.x.x.x,108.386,legit
x.x.x.x,6.893,legit
x.x.x.x,6.388,legit
x.x.x.x,6.871,legit
x.x.x.x,287.674,legit
x.x.x.x,148.606,legit
x.x.x.x,6.761,legit
x.x.x.x,197.615,legit
x.x.x.x,6.151,legit
x.x.x.x,160.713,legit
x.x.x.x,7.482,legit
x.x.x.x,258.933,legit
x.x.x.x,6.549,legit
x.x.x.x,7.577,legit
x.x.x.x,7.088,legit
x.x.x.x,7.797,legit
x.x.x.x,7.978,legit
x.x.x.x,196.861,legit
x.x.x.x,6.531,legit
x.x.x.x,7.139,legit
x.x.x.x,263.981,legit
x.x.x.x,8.106,legit
x.x.x.x,7.309,legit
x.x.x.x,7.324,legit
x.x.x.x,240.887,legit
x.x.x.x,98.735,legit
x.x.x.x,6.086,legit
x.x.x.x,6.486,legit
x.x.x.x,6.433,legit
x.x.x.x,6.315,legit
x.x.x.x,6.633,legit
x.x.x.x,6.929,legit
x.x.x.x,6.139,legit
x.x.x.x,252.753,legit
x.x.x.x,7.409,legit
x.x.x.x,288.461,legit
x.x.x.x,6.248,legit
x.x.x.x,7.483,legit
x.x.x.x,248.637,legit
x.x.x.x,247.285,legit
x.x.x.x,251.37,legit
x.x.x.x,242.06,legit
x.x.x.x,237.1,legit
x.x.x.x,7.177,legit
x.x.x.x,7.175,legit
x.x.x.x,44.822,legit
x.x.x.x,44.513,legit
x.x.x.x,6.642,legit
x.x.x.x,111.729,legit
x.x.x.x,6.402,legit
x.x.x.x,241.673,legit
x.x.x.x,8.076,legit
x.x.x.x,7.566,legit
x.x.x.x,7.393,legit
x.x.x.x,6.369,legit
x.x.x.x,7.223,legit
x.x.x.x,6.507,legit
x.x.x.x,7.348,legit
x.x.x.x,7.208,legit
x.x.x.x,7.133,legit
x.x.x.x,7.915,legit
x.x.x.x,7.956,legit
x.x.x.x,6.583,legit
x.x.x.x,250.46,legit
x.x.x.x,7.353,legit
x.x.x.x,97.959,legit
x.x.x.x,7.034,legit
x.x.x.x,167.808,legit
x.x.x.x,8.444,legit
x.x.x.x,19.948,legit
x.x.x.x,106.796,legit
x.x.x.x,6.681,legit
x.x.x.x,159.407,legit
x.x.x.x,7.143,legit
x.x.x.x,247.055,legit
x.x.x.x,6.993,legit
x.x.x.x,7.205,legit
x.x.x.x,284.134,legit
x.x.x.x,8.892,legit
x.x.x.x,266.116,legit
x.x.x.x,7.743,legit
x.x.x.x,7.691,legit
x.x.x.x,106.576,legit
x.x.x.x,6.89,legit
x.x.x.x,6.549,legit
x.x.x.x,135.451,legit
x.x.x.x,151.85,legit
x.x.x.x,6.952,legit
x.x.x.x,10.575,legit
x.x.x.x,6.861,legit
x.x.x.x,7.143,legit
x.x.x.x,7.617,legit
x.x.x.x,6.998,legit
x.x.x.x,6.998,legit
x.x.x.x,7.29,legit
x.x.x.x,8.296,legit
x.x.x.x,7.71,legit
x.x.x.x,8.128,legit
x.x.x.x,8.395,legit
x.x.x.x,6.252,legit
x.x.x.x,6.517,legit
x.x.x.x,6.834,legit
x.x.x.x,8.082,legit
x.x.x.x,6.42,legit
x.x.x.x,243.468,legit
x.x.x.x,6.552,legit
x.x.x.x,6.947,legit
x.x.x.x,5.972,legit
x.x.x.x,5.972,legit
x.x.x.x,292.151,legit
x.x.x.x,7.591,legit
x.x.x.x,262.824,legit
x.x.x.x,262.545,legit
x.x.x.x,7.945,legit
x.x.x.x,249.898,legit
x.x.x.x,281.524,legit
x.x.x.x,6.589,legit
x.x.x.x,7.029,legit
x.x.x.x,15.092,legit
x.x.x.x,7,legit
x.x.x.x,65.353,legit
x.x.x.x,7.628,legit
x.x.x.x,244.978,legit
x.x.x.x,6.757,legit
x.x.x.x,7.461,legit
x.x.x.x,243.569,legit
x.x.x.x,6.596,legit
x.x.x.x,83.597,legit
x.x.x.x,118.954,legit
x.x.x.x,6.347,legit
x.x.x.x,245.113,legit
x.x.x.x,6.232,legit
x.x.x.x,7.962,legit
x.x.x.x,262.648,legit
x.x.x.x,6.909,legit
x.x.x.x,7.157,legit
x.x.x.x,8.639,legit
x.x.x.x,183.666,legit
x.x.x.x,44.304,legit
x.x.x.x,152.088,legit
x.x.x.x,6.67,legit
x.x.x.x,6.073,legit
x.x.x.x,5.7,legit
x.x.x.x,6.382,legit
x.x.x.x,6.41,legit
x.x.x.x,6.218,legit
x.x.x.x,8.615,legit
x.x.x.x,243.684,legit
x.x.x.x,7.28,legit
x.x.x.x,242.453,legit
